Country,Math_scores,Math_hours,Science_scores,Science_hours,Continent
Morocco,335,174,264,44,Africa
Tunisia,359,175,346,93,Africa
Russian Federation,542,104,552,49,Asia
Bahrain,436,131,449,85,Asia
Chinese Taipei-CHN,591,133,552,90,Asia
Hong Kong-CHN,602,158,535,88,Asia
Iran,431,146,453,106,Asia
Japan,585,150,559,91,Asia
Kazakhstan,501,140,495,57,Asia
Korea,605,121,587,92,Asia
Kuwait,342,120,347,85,Asia
Oman,385,170,377,120,Asia
Qatar,413,185,394,135,Asia
Saudi Arabia,410,147,429,82,Asia
Singapore,606,208,583,96,Asia
Thailand,458,167,472,109,Asia
Turkey,469,126,463,94,Asia
United Arab Emirates,434,154,428,108,Asia
Yemen,248,135,209,91,Asia
Austria,508,146,532,96,Europe
Azerbaijan,463,130,438,61,Europe
Croatia,490,134,516,95,Europe
Czech Republic,511,163,536,60,Europe
Denmark,537,124,528,62,Europe
England-GBR,542,188,529,76,Europe
Finland,545,139,570,98,Europe
Georgia,450,148,455,110,Europe
Germany,528,163,528,75,Europe
Hungary,515,148,534,72,Europe
Ireland,527,150,516,63,Europe
Italy,508,214,524,78,Europe
Lithuania,534,133,515,60,Europe
Malta,496,183,446,39,Europe
Netherlands,540,195,531,42,Europe
Northern Ireland-GBR,562,232,517,72,Europe
Norway,495,157,494,55,Europe
Poland,481,157,505,64,Europe
Portugal,532,250,522,162,Europe
Romania,482,148,505,56,Europe
Serbia,516,153,516,72,Europe
Slovak Republic,507,147,532,101,Europe
Slovenia,513,169,520,101,Europe
Spain,482,167,505,145,Europe
Sweden,504,138,533,75,Europe
United States,541,206,544,105,North America
Australia,516,230,516,65,Oceania
New Zealand,486,168,497,52,Oceania
Chile,462,231,480,161,South America
